cpart	regn	line	01.01.2012	01.02.2012	01.03.2012	01.04.2012	01.05.2012	01.06.2012	01.07.2012	01.08.2012	01.09.2012	01.10.2012	01.11.2012	01.12.2012	01.01.2013	01.02.2013	01.03.2013	01.04.2013	01.05.2013	01.06.2013	01.07.2013	01.08.2013	01.09.2013	01.10.2013	01.11.2013	01.12.2013	01.01.2014	01.02.2014	01.03.2014	01.04.2014	01.05.2014	01.06.2014	01.07.2014	01.08.2014	01.09.2014	01.10.2014	01.11.2014	01.12.2014	01.01.2015	01.02.2015
iv	1623	206000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	207000	0	0	0	0	0	0	0	5537	5674	9925	10114	9977	5632	5672	5606	5572	5717	5735	5981	6105	6162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	208000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	209000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	209100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	209200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	209300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	209400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	209500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	209600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	209700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	209800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	209900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1623	298000	90409	0	0	70184	188972	0	51248	0	0	206281	0	0	93183	0	0	193121	0	0	190444	0	61427	0	0	76829	0	0	0	0	0	95303	0	0	232226	0	0	213129	0	0
iv	1623	299000	899699	877727	909303	1006151	889563	1239770	1309364	1416040	1450275	1094399	1105610	1065778	1041428	1101885	1065105	1531593	1386847	1396908	1311408	1387438	1488630	1170822	1159922	1207884	1016928	1293830	1080176	1139406	1067154	1023715	843047	904763	1071272	1079842	1269963	1488949	1138278	1744768
iv	1623	307101	7633859	7209202	7785255	8011869	7897518	8453249	8314690	8197597	8136717	7219044	7209864	7120918	6650144	6672232	6874657	6959254	7055916	7112947	7369856	7212715	6960792	6658227	6133159	6239210	6016146	6338876	6479752	6364172	6258951	5981614	5744430	6051147	5997578	6071517	6560983	7480955	8481097	10304773
iv	1623	307112	417222	387232	370204	373781	374524	414212	294206	340927	332265	227807	231681	224511	209864	207892	173577	170063	171203	171055	177150	178245	179867	174770	173171	178933	136297	146365	140545	138942	138486	140508	118637	125828	129668	138084	180456	212543	233826	282534
iv	1623	307122	7216637	6821970	7415051	7638088	7522994	8039037	8020484	7856670	7804452	6991237	6978183	6896407	6440280	6464340	6701080	6789191	6884713	6941892	7192706	7034470	6780925	6483457	5959988	6060277	5879849	6192511	6339207	6225230	6120465	5841106	5625793	5925319	5867910	5933433	6380527	7268412	8247271	10022239
iv	1623	307132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1942	500	3049830	1112146	-1547762	-202691	-31215	1162573	2161800	-23930	-808017	-2748204	-937091	-4550114	485774	-3153556	-6803081	-3464293	-6760294	-1729527	-3457146	-6218598	-4528722	-4986955	-6551830	74165	-1664455	1648522	-3201194	1689745	6392628	2773607	-3747708	1780920	5103618	7268449	6933712	12394557	4084284	6753140
