cpart	regn	line	01.01.2012	01.02.2012	01.03.2012	01.04.2012	01.05.2012	01.06.2012	01.07.2012	01.08.2012	01.09.2012	01.10.2012	01.11.2012	01.12.2012	01.01.2013	01.02.2013	01.03.2013	01.04.2013	01.05.2013	01.06.2013	01.07.2013	01.08.2013	01.09.2013	01.10.2013	01.11.2013	01.12.2013	01.01.2014	01.02.2014	01.03.2014	01.04.2014	01.05.2014	01.06.2014	01.07.2014	01.08.2014	01.09.2014	01.10.2014	01.11.2014	01.12.2014	01.01.2015	01.02.2015
itogo	2748	209100	5055169	5055169	5055169	2032965	2032965	2048572	2048572	2048572	2048873	2048873	2048873	2048870	2128425	2128425	2128425	2128425	981247	981347	981347	981347	1855229	1852779	1852779	1852779	1861779	1870051	1940726	1940726	1940726	5947848	1138878	1138878	1138850	1138850	1138150	135384	135384	135384
itogo	2748	209200	1162095	1110231	1073730	1135584	1139566	1235079	1260802	1231359	1252770	1220600	1247641	1236805	1227686	1229664	1243474	1276763	1300691	1297761	1354148	1376931	1397741	1377273	1382379	1432044	1421196	1533396	1613724	262472	264140	265864	26499	26503	26507	26458	26462	222842	26439	26442
itogo	2748	209300	664829	668806	672526	676504	680352	684330	688178	694215	697801	700956	704636	708486	1868324	2433296	3796415	3734472	4301044	4316061	4330594	4345612	4360629	4375162	4397548	4412140	4427385	4518336	5128895	5011495	3150833	3072677	3350329	3352779	3355229	3335227	3337527	3339753	3342053	3344353
itogo	2748	209400	2538700	2518768	2504606	5665564	5665838	5697468	3515987	3508478	3508563	3492387	3497673	3158043	3158043	3158043	3158043	3158043	0	0	0	2185758	2185758	2185758	2185758	2185758	0	0	0	500812	479737	456905	440509	456414	424621	472082	518087	2046382	2785874	2785874
itogo	2748	209500	672889	743533	715810	726225	728600	785795	794998	2292839	985661	960767	944253	990622	1074636	1054217	1055105	1062731	1044725	1050470	1245641	1003934	1053585	1030151	1885424	933044	637235	753763	768836	2041829	2170802	2138997	2065927	2173450	2135854	2703994	2992405	3622226	3741421	4433323
itogo	2748	209600	43434266	39655077	34188798	23916362	23242772	19412481	17788683	17406091	17711894	17726116	17042700	17129405	17713977	17409023	16127324	15905213	17109252	17343271	17685293	17422789	16565288	15788088	15275207	15805852	16187928	16236342	18390365	18208932	17781408	18053655	16960968	17326062	17110555	15195516	16098814	17762138	20590520	24451975
itogo	2748	209700	1718841	1727808	1696475	1711044	1461217	1537618	1592681	1663760	1715846	1741963	1779864	1946823	2167752	2100660	2229164	2348352	2524974	2705992	2978856	3174554	3238249	3433910	3557394	3787061	4039727	4395843	4477852	4914348	5299490	5234590	5744866	6088397	6761518	7254605	7808867	8448402	9136844	10035678
itogo	2748	209800	79485553	82567656	89019230	102121233	106005576	113126716	118690890	118749653	123142044	122833178	127472334	129175040	123619139	124883409	124870653	128864526	131607342	133939516	137017516	137954374	140133430	142636204	145354490	146765349	149810200	153420202	155113770	155182308	143466966	143432397	144803602	149908129	155774735	159531641	164575082	172275644	189171199	210718461
itogo	2748	209900	5798917	5608880	5925041	6162195	6880208	7087269	8881216	9164119	7711756	9433037	10171180	8508842	7688496	9409339	13560018	12841694	13993611	14105623	15532727	16394456	16151054	20343604	20938567	22884435	22340639	23161979	23597491	26640710	29427985	33891075	35811033	37580396	39908375	40473213	43612397	45443831	50093471	53088734
itogo	2748	298000	0	34828	63809	171949	14895	19446	13885	13989	3065	0	60873	0	18885	55786	0	11444	17969	3613	14456	8284	15549	39207	3865	2147	28646	0	6028	320588	6078	9728	25819	6749	0	46508	0	0	0	2653
itogo	2748	299000	8894388	10041924	10254381	8109271	10830577	10253678	8665131	10332876	11452919	9752706	10190026	10457558	10451719	10088468	11580325	12101853	12030904	12514303	12254462	12426933	14537191	13420599	15659741	16453260	14133737	14686543	15568222	12567479	10782878	11226701	15197197	12398512	14788660	15325466	15866879	18171991	17215741	16191436
itogo	2748	307101	164039023	175845221	193009034	219841478	232366283	245430068	243543859	243336415	244109659	242143879	244335963	245693504	235962114	236067886	231245452	231589220	232502055	233226254	232159761	229749818	232955362	232845018	234001484	237190799	229512727	226403722	227166459	225519004	231646282	226114883	221796701	226188301	228162567	224706695	228189152	242014592	262421441	295259954
itogo	2748	307112	144517649	156281739	173429842	200232602	210651216	223045552	223592836	223406028	224176819	222743023	224925266	226257577	220473729	220552200	216661239	216910067	217750728	218469895	217195690	216074725	219125361	219147059	220245200	222965197	217001624	213535844	213954588	211976977	217837086	211861215	207245976	211111455	212383454	208369171	211426372	224378835	244348254	275955440
itogo	2748	307122	12064083	12061030	11993193	11990227	12566801	12786652	12831083	12766873	12814922	12764410	12851461	12843194	8891339	8934041	9048704	9144098	9238243	9324498	9528891	8472750	8647074	8752578	9064761	9399171	8222082	8671080	9015073	9328619	9612398	10056870	10353927	10880048	11572080	12140726	12564991	13359900	13844667	14839109
itogo	2748	307132	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	715	15292	715	715	715	17325	715	715	715	715	715	715	715	715	125884	307434
itogo	2790	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itogo	2790	100000	9902107	9516577	9498571	9367951	9053090	9627328	9787694	9764150	9693705	9401881	9362802	9701968	9944193	9926180	10125588	9958228	10517806	10740876	11289224	10622158	10687892	11855531	14918594	12349789	12686510	11128559	11224589	11371945	12794997	12585036	12289035	12744070	12898245	13484548	14079704	15403770	17937643	19999105
itogo	2790	101000	15362	13802	11990	10614	9469	8657	7777	6340	14999	13934	12503	13026	10110	9416	8950	15101	14695	14252	12319	10890	11500	9830	9379	17123	13928	16550	15059	14473	15376	13602	14090	14682	13632	27330	15725	14948	13832	0
