REGN	PLAN	NUM_SC	A_P	VR	VV	VITG	ORA	OVA	OITGA	ORP	OVP	OITGP	IR	IV	IITG	DT	PRIZ
1.0	À	47304	1	0.0	626941.0	626941.0	0.0	55570.0	55570.0	0.0	264349.0	264349.0	0.0	418162.0	418162.0	2013-01-01	1.0
1.0	À	47402	1	119.0	0.0	119.0	1568.0	0.0	1568.0	1477.0	0.0	1477.0	210.0	0.0	210.0	2013-01-01	1.0
1.0	À	47404	1	279964.0	1943801.0	2223765.0	725553649.0	146450159.0	872003808.0	725722396.0	146450912.0	872173308.0	111217.0	1943048.0	2054265.0	2013-01-01	1.0
1.0	À	47408	1	43373.0	3105650.0	3149023.0	670891407.0	704993812.0	1375885219.0	670893318.0	708099462.0	1378992780.0	41462.0	0.0	41462.0	2013-01-01	1.0
1.0	À	47417	1	20.0	15.0	35.0	60.0	35132.0	35192.0	80.0	35103.0	35183.0	0.0	44.0	44.0	2013-01-01	1.0
1.0	À	47423	1	1218085.0	68727.0	1286812.0	7626172.0	995646.0	8621818.0	7586461.0	994828.0	8581289.0	1257796.0	69545.0	1327341.0	2013-01-01	1.0
1.0	À	47427	1	1202529.0	1905833.0	3108362.0	2887111.0	1084355.0	3971466.0	2786617.0	1040513.0	3827130.0	1303023.0	1949675.0	3252698.0	2013-01-01	1.0
1.0	À	47801	1	10584.0	586527.0	597111.0	0.0	15731.0	15731.0	50.0	37805.0	37855.0	10534.0	564453.0	574987.0	2013-01-01	1.0
1.0	À	47802	1	154409.0	3819667.0	3974076.0	65.0	871285.0	871350.0	1988.0	597441.0	599429.0	152486.0	4093511.0	4245997.0	2013-01-01	1.0
1.0	À	47803	1	4900796.0	0.0	4900796.0	4955556.0	0.0	4955556.0	2234235.0	0.0	2234235.0	7622117.0	0.0	7622117.0	2013-01-01	1.0
1.0	À	50104	1	805372.0	3642.0	809014.0	25600772.0	117.0	25600889.0	23899075.0	284.0	23899359.0	2507069.0	3475.0	2510544.0	2013-01-01	1.0
